ID,Tipo,Módulo,Función/Característica,Descripción,Precondiciones,Datos de entrada,Pasos,Resultado esperado,Resultado real,Severidad,Estado
TU-01,Unitaria,books.py,load_products,Verificar carga correcta de productos desde JSON,Archivo JSON válido con datos,N/A,"1. Crear archivo JSON de prueba
2. Llamar a load_products()",Los productos se cargan correctamente en un diccionario,Pendiente,Alta,Pendiente
TU-02,Unitaria,books.py,save_products,Verificar guardado de productos en JSON,N/A,"Diccionario con productos de prueba","1. Crear diccionario de productos
2. Llamar a save_products()
3. Verificar contenido del archivo",Los productos se guardan correctamente en el archivo JSON,Pendiente,Alta,Pendiente
TU-03,Unitaria,books.py,get_next_id,Verificar generación secuencial de IDs,Archivo ID existente,N/A,"1. Establecer valor conocido en archivo ID
2. Llamar a get_next_id()
3. Verificar que se incrementó",Se genera el siguiente ID en formato correcto y se actualiza el contador,Pendiente,Media,Pendiente
TU-04,Unitaria,books.py,agregar_producto,Verificar creación correcta de productos,N/A,"Título: ""Test Book""
Autor: ""Test Author""
Descripción: ""Test Description""
Stock: 10
Precio: 19.99
Imagen: """"
Categoría: ""Fiction""","1. Llamar a agregar_producto con datos válidos
2. Verificar retorno de ID
3. Comprobar producto en lista",El producto se agrega correctamente y retorna un ID válido,Pendiente,Alta,Pendiente
TU-05,Unitaria,books.py,eliminar_producto,Verificar eliminación de productos,Producto existente en el sistema,ID de producto válido,"1. Agregar producto de prueba
2. Llamar a eliminar_producto() con su ID
3. Verificar lista actualizada",El producto se elimina correctamente del sistema,Pendiente,Media,Pendiente
TU-06,Unitaria,books.py,actualizar_producto,Verificar actualización de productos,Producto existente en el sistema,"ID existente
Datos actualizados para todos los campos","1. Agregar producto de prueba
2. Llamar a actualizar_producto() con datos nuevos
3. Verificar cambios",El producto se actualiza correctamente con los nuevos datos,Pendiente,Media,Pendiente
TU-07,Unitaria,books.py,filter_by_category,Verificar filtrado por categoría,Productos con diversas categorías,Nombre de categoría válida,"1. Crear productos con categorías distintas
2. Llamar a filter_by_category()
3. Verificar resultados",Se retornan solo los productos de la categoría especificada,Pendiente,Baja,Pendiente
TU-08,Unitaria,app.py,home,Verificar renderizado correcto de la página principal,Aplicación en ejecución,N/A,"1. Simular petición GET a '/'
2. Verificar respuesta",Se renderiza correctamente la plantilla index.html con la lista de productos,Pendiente,Alta,Pendiente
TU-09,Unitaria,app.py,admin,Verificar acceso al panel de administración,Aplicación en ejecución,N/A,"1. Simular petición GET a '/admin'
2. Verificar respuesta",Se renderiza correctamente la plantilla admin.html,Pendiente,Alta,Pendiente
TI-01,Integración,app.py/books.py,Flujo de creación,Verificar flujo completo de creación de producto,Aplicación en ejecución,"Datos de libro completo
Imagen de prueba","1. Simular solicitud POST a '/add'
2. Verificar redirección
3. Comprobar producto en la base de datos",El producto se crea y almacena correctamente en el sistema,Pendiente,Alta,Pendiente
TI-02,Integración,app.py/books.py,Flujo de actualización,Verificar flujo completo de actualización,Producto existente,"ID existente
Datos actualizados","1. Simular solicitud POST a '/update/{id}'
2. Verificar redirección
3. Comprobar producto actualizado",El producto se actualiza correctamente,Pendiente,Media,Pendiente
TI-03,Integración,app.py/books.py,Flujo de eliminación,Verificar flujo completo de eliminación,Producto existente,ID existente,"1. Simular solicitud GET a '/delete/{id}'
2. Verificar redirección
3. Comprobar eliminación en base de datos",El producto se elimina correctamente,Pendiente,Media,Pendiente
TI-04,Integración,app.py/books.py,Visualización detallada,Verificar visualización detallada de productos,Producto existente,ID existente,"1. Simular solicitud GET a '/book/{id}'
2. Verificar respuesta",Se muestra correctamente la página de detalle del producto específico,Pendiente,Media,Pendiente
TI-05,Integración,app.py/books.py,Filtrado en UI,Verificar filtrado por categoría desde la UI,Productos con categorías,"Categoría ""Fiction""","1. Simular solicitud GET a '/category/Fiction'
2. Verificar respuesta",Se muestran solo los productos de la categoría Fiction,Pendiente,Baja,Pendiente
TA-01,Aceptación,Interfaz Web,Página principal,Verificar carga de página principal,Aplicación en ejecución,N/A,"1. Abrir navegador
2. Navegar a http://localhost:5000
3. Verificar elementos UI",La página muestra correctamente los libros disponibles con su información básica,Pendiente,Alta,Pendiente
TA-02,Aceptación,Interfaz Web,Añadir libro,Verificar creación de libro desde la UI,Aplicación en ejecución,"Título: ""Manual Test Book""
Autor: ""Manual Tester""
Descripción: ""This is a test book""
Stock: 25
Precio: 19.99
Categoría: ""Fiction""
Imagen: test_cover.jpg","1. Navegar a /admin
2. Completar formulario
3. Hacer clic en ""Add Book""
4. Verificar redirección
5. Comprobar libro en lista",El libro se crea correctamente y aparece en la lista de libros,Pendiente,Alta,Pendiente
TA-03,Aceptación,Interfaz Web,Editar libro,Verificar edición de libro desde la UI,Libro existente en el sistema,"Datos actualizados para todos los campos","1. Navegar a /admin
2. Hacer clic en ""Edit"" para un libro existente
3. Modificar campos
4. Hacer clic en ""Update Book""
5. Verificar cambios",El libro se actualiza correctamente y muestra los nuevos datos,Pendiente,Media,Pendiente
TA-04,Aceptación,Interfaz Web,Eliminar libro,Verificar eliminación desde la UI,Libro existente en el sistema,ID de libro válido,"1. Navegar a /admin
2. Hacer clic en ""Delete"" para un libro existente
3. Confirmar eliminación
4. Verificar que el libro ya no aparece",El libro se elimina correctamente y desaparece de la lista,Pendiente,Media,Pendiente
TA-05,Aceptación,Interfaz Web,Ver detalles,Verificar página de detalle de libro,Libro existente en el sistema,ID de libro válido,"1. Navegar a la página principal
2. Hacer clic en ""View Details"" de un libro
3. Verificar información mostrada",La página muestra todos los detalles del libro correctamente,Pendiente,Baja,Pendiente
TA-06,Aceptación,Interfaz Web,Filtrar por categoría,Verificar filtrado por categoría en la UI,Libros con distintas categorías,Categoría existente,"1. Navegar a la página principal
2. Hacer clic en link de categoría
3. Verificar lista de libros",Se muestran solo los libros de la categoría seleccionada,Pendiente,Baja,Pendiente
TA-07,Aceptación,Interfaz Web,Validación de formularios,Verificar validación de campos obligatorios,Aplicación en ejecución,"Datos incompletos (título vacío)","1. Navegar a /admin
2. Dejar título en blanco
3. Completar otros campos
4. Hacer clic en ""Add Book""",Se muestra un mensaje de error y no se crea el libro,Pendiente,Media,Pendiente
TA-08,Aceptación,Interfaz Web,Carga de imágenes,Verificar carga de imágenes de portada,Aplicación en ejecución,"Archivo de imagen válido JPG/PNG","1. Navegar a /admin
2. Completar formulario
3. Seleccionar archivo de imagen
4. Hacer clic en ""Add Book""
5. Ver detalle del libro creado",La imagen se carga correctamente y se muestra en la página de detalle,Pendiente,Media,Pendiente